,anchor,tense,sentence,doc
0,protest,Past,"5,000 teachers march to Surat collectorate TNN | Sep 12 , 2001 , 12.56 AM IST surat : over five thousand school teachers took out a rally from makaipul to the district collectorate at nanpura on tuesday afternoon to protest against the government notification invoking essential services maintenance act ( esma ) on the striking teachers in the state .",https__timesofindia.indiatimes.com_city_ahmedabad_5000-teachers-march-to-Surat-collectorate_articleshow_1756751262.folia.xml
1,protesting,Past,"while a delegation of muslims led by congressmen met minister of state for home haren pandya on thursday , protesting against lethal police firing during the clashes , the officials felt the leadership of the minority community was no longer in the hands of the main opposition party .",https__timesofindia.indiatimes.com_city_ahmedabad_Gujarat-Govt-fears-violence-could-spread_articleshow_1616283730.folia.xml
2,demonstrations,Past,"Valjibhai Bagda does it again TNN | Aug 9 , 2001 , 10.32 PM IST rajkot : valjibhai bagda , congress party spokesman for saurashtra and kutch , is known for his surprise demonstrations and rallies on national issues .",https__timesofindia.indiatimes.com_city_ahmedabad_Valjibhai-Bagda-does-it-again_articleshow_1282209380.folia.xml
3,rallies,Past,"Valjibhai Bagda does it again TNN | Aug 9 , 2001 , 10.32 PM IST rajkot : valjibhai bagda , congress party spokesman for saurashtra and kutch , is known for his surprise demonstrations and rallies on national issues .",https__timesofindia.indiatimes.com_city_ahmedabad_Valjibhai-Bagda-does-it-again_articleshow_1282209380.folia.xml
4,demonstration,Past,"srinivasulu , bjp state executive member narayanaswamy naidu and 14 others were injured in the attack .",https__timesofindia.indiatimes.com_city_delhi_Air-traffic-normal_articleshow_85416019.folia.xml
5,protesting,Past,"at a meeting convened on thursday by the protesting karnataka state cable tv operators ' association and the msos ( except hathway ) , it was reiterated that star transmission was indefinitely switched off .",https__timesofindia.indiatimes.com_city_bengaluru_TN-to-sound-out-PM-on-Cauvery-row_articleshow_1820476554.folia.xml
6,rally,Past,sources in the school teachers ' associations said a big rally would be taken out on tuesday if the government fails to reconsider the whole matter .,https__timesofindia.indiatimes.com_city_ahmedabad_Police-arrest-teachers-for-burning-ESMA-notification_articleshow_2020028184.folia.xml
7,rally,Past,"police sources said keeping in view of the proposed rally on tuesday , all required bandobast was being chalked out to prevent any untoward incident from taking place .",https__timesofindia.indiatimes.com_city_ahmedabad_Police-arrest-teachers-for-burning-ESMA-notification_articleshow_2020028184.folia.xml
8,protests,Past,"Bellary sees a spate of workers ' protests THE TIMES OF INDIA NEWS SERVICE | Jul 25 , 2001 , 10.51 PM IST bellary : work in post offices across the district was severely affected when employees of the department resorted to strike on wednesday protesting the union government 's move to open some public sector undertakings besides downsizing the existing staff strength .",https__timesofindia.indiatimes.com_city_bengaluru_Bellary-sees-a-spate-of-workers-protests_articleshow_1207664092.folia.xml
9,protest,Past,mallikarjuna gowda and dadapeer of gramin dak sevaks led the protest .,https__timesofindia.indiatimes.com_city_bengaluru_Bellary-sees-a-spate-of-workers-protests_articleshow_1207664092.folia.xml
10,protesting,Past,"elsewhere in the town , state government employees staged a dharna in front of the deputy commissioner 's office protesting government 's privatisation policy .",https__timesofindia.indiatimes.com_city_bengaluru_Bellary-sees-a-spate-of-workers-protests_articleshow_1207664092.folia.xml
11,protesting,Past,"BUTA announces strike on July 25 A STAFF REPORTER | Jul 24 , 2001 , 12.00 AM IST vadodara : baroda university teachers association ( buta ) has announced a strike on july 25 to express their solidarity with the other striking employees protesting against government polices of privatisation and self-finance colleges .",https__timesofindia.indiatimes.com_city_ahmedabad_BUTA-announces-strike-on-July-25_articleshow_1670548881.folia.xml
12,protests,Past,"bjp leader madan lal khurana , architect of many anti-government protests , lent his voice , and a broad smile .",https__timesofindia.indiatimes.com_city_delhi_Dikshit-turns-to-God-on-CNG_articleshow_1476407249.folia.xml
13,protests,Past,"Cong protests VMC 's inability to keep city clean A STAFF REPORTER | Jul 18 , 2001 , 02.15 AM IST vadodara : in a unique protest , congress corporators brought two piglets to the general meeting of the vadodara municipal corporation ( vmc ) here on tuesday evening to protest against the vmc 's "" inability to keep the city clean .",https__timesofindia.indiatimes.com_city_ahmedabad_Cong-protests-VMCs-inability-to-keep-city-clean_articleshow_69550573.folia.xml
14,rally,Past,the junior doctors of mysore city will take out a rally on tuesday against the pathetic response of the government towards their cause .,https__timesofindia.indiatimes.com_city_bengaluru_Doctors-to-stop-OPD-service_articleshow_7528682.folia.xml
